feedstock_scope,region,region_code,optimization_scenario,objective_code,output_indicator,output_column,display_unit,input_to_display_scale_factor,n_successful_iterations,mean,5th_percentile,median,95th_percentile,relative_uncertainty_width_percent,optimization_result
FLB,China,CN,GWP optimization,environmental,Total GWP saving,total_gwp_saving,Mt CO_2-eq yr^{-1},1000000000.0,5000,16.71807561175118,15.31301843981814,16.71009427422144,18.128184002183495,16.83905269806632,16.71807315309771
FLB,China,CN,GWP optimization,environmental,Total economic margin,total_economic_benefit,billion USD yr^{-1},1000000000.0,5000,7.844706677188439,6.819007572030826,7.847506061768958,8.878353923420441,26.25141303725188,7.844704321292086
FLB,China,CN,Economic optimization,economic,Total GWP saving,total_gwp_saving,Mt CO_2-eq yr^{-1},1000000000.0,5000,16.71807561175118,15.31301843981814,16.71009427422144,18.128184002183495,16.83905269806632,16.71807315309771
FLB,China,CN,Economic optimization,economic,Total economic margin,total_economic_benefit,billion USD yr^{-1},1000000000.0,5000,29.957995905396825,26.173786250302314,29.94288485868819,33.76613393987466,25.343309724548753,29.95797185624231
FLB,United States,US,GWP optimization,environmental,Total GWP saving,total_gwp_saving,Mt CO_2-eq yr^{-1},1000000000.0,5000,5.745745796096705,5.338597895429105,5.749865754297426,6.150470767362413,14.129982438221383,5.7457477855892485
FLB,United States,US,GWP optimization,environmental,Total economic margin,total_economic_benefit,billion USD yr^{-1},1000000000.0,5000,27.40543900784125,22.71007967354711,27.396872356308343,32.10781106226321,34.291482745549956,27.40541051735202
FLB,United States,US,Economic optimization,economic,Total GWP saving,total_gwp_saving,Mt CO_2-eq yr^{-1},1000000000.0,5000,5.745745796096705,5.338597895429105,5.749865754297426,6.150470767362413,14.129982438221383,5.7457477855892485
FLB,United States,US,Economic optimization,economic,Total economic margin,total_economic_benefit,billion USD yr^{-1},1000000000.0,5000,154.91257500899405,128.7133886311505,155.01578136188942,181.03791280869925,33.776808741647244,154.91250536029708
FLB,European Union,EU,GWP optimization,environmental,Total GWP saving,total_gwp_saving,Mt CO_2-eq yr^{-1},1000000000.0,5000,5.631028828746035,5.1892311109549025,5.630313675684835,6.077922959705058,15.78205112737909,5.631031086256422
FLB,European Union,EU,GWP optimization,environmental,Total economic margin,total_economic_benefit,billion USD yr^{-1},1000000000.0,5000,377.7188687476455,300.79887813214566,377.68614872257945,454.72228180069004,40.750784883712235,377.7184934163354
FLB,European Union,EU,Economic optimization,economic,Total GWP saving,total_gwp_saving,Mt CO_2-eq yr^{-1},1000000000.0,5000,5.631028828746035,5.1892311109549025,5.630313675684835,6.077922959705058,15.78205112737909,5.631031086256422
FLB,European Union,EU,Economic optimization,economic,Total economic margin,total_economic_benefit,billion USD yr^{-1},1000000000.0,5000,502.8475827212935,423.7186458446031,502.65191865330695,583.0578952561963,31.687384982400918,502.8471968754647
FL,China,CN,GWP optimization,environmental,Total GWP saving,total_gwp_saving,Mt CO_2-eq yr^{-1},1000000000.0,5000,16.718069664784426,15.290070568401129,16.71785287260272,18.135609387609893,17.020737897765283,16.71807315309771
FL,China,CN,GWP optimization,environmental,Total economic margin,total_economic_benefit,billion USD yr^{-1},1000000000.0,5000,7.844704690104363,6.827389268743194,7.848076706481379,8.862277896603862,25.939646019149208,7.844704321292092
FL,China,CN,Economic optimization,economic,Total GWP saving,total_gwp_saving,Mt CO_2-eq yr^{-1},1000000000.0,5000,16.718069664784426,15.290070568401129,16.71785287260272,18.135609387609893,17.020737897765283,16.71807315309771
FL,China,CN,Economic optimization,economic,Total economic margin,total_economic_benefit,billion USD yr^{-1},1000000000.0,5000,29.957952381873817,26.083430964184004,29.961050206920934,33.73577215256772,25.54360555367528,29.95797185624232
FL,United States,US,GWP optimization,environmental,Total GWP saving,total_gwp_saving,Mt CO_2-eq yr^{-1},1000000000.0,5000,5.745746270611523,5.336048398020088,5.748216183216291,6.172203904947556,14.552600611764838,5.7457477855892485
FL,United States,US,GWP optimization,environmental,Total economic margin,total_economic_benefit,billion USD yr^{-1},1000000000.0,5000,27.405404079736233,22.706064778799036,27.41330416749811,32.133239867917204,34.39896402070822,27.40541051735202
FL,United States,US,Economic optimization,economic,Total GWP saving,total_gwp_saving,Mt CO_2-eq yr^{-1},1000000000.0,5000,5.745746270611523,5.336048398020088,5.748216183216291,6.172203904947556,14.552600611764838,5.7457477855892485
FL,United States,US,Economic optimization,economic,Total economic margin,total_economic_benefit,billion USD yr^{-1},1000000000.0,5000,154.91265061283175,128.43120058191295,154.8788401072039,181.35131465069952,34.16126046480744,154.91250536029708
FL,European Union,EU,GWP optimization,environmental,Total GWP saving,total_gwp_saving,Mt CO_2-eq yr^{-1},1000000000.0,5000,5.631030620357284,5.189995598173775,5.630826022626453,6.07474308778005,15.71199926364702,5.631031086256423
FL,European Union,EU,GWP optimization,environmental,Total economic margin,total_economic_benefit,billion USD yr^{-1},1000000000.0,5000,377.7185391540205,300.9420102258669,377.79366824916667,454.60978544388274,40.68314347561199,377.718493416336
FL,European Union,EU,Economic optimization,economic,Total GWP saving,total_gwp_saving,Mt CO_2-eq yr^{-1},1000000000.0,5000,5.631030620357284,5.189995598173775,5.630826022626453,6.07474308778005,15.71199926364702,5.631031086256422
FL,European Union,EU,Economic optimization,economic,Total economic margin,total_economic_benefit,billion USD yr^{-1},1000000000.0,5000,502.84725670676306,423.2356210939923,503.53643276827927,583.3767527115176,31.846873873056076,502.8471968754647
